DATE,PRODUCT CODE,  QTY,   MRP,     AMOUNT,    BILL NO,    DESCRIPTION,GST AMOUNT,     COMMENTS,
10/15/2019,MERCERISED GREEN SAREE,1,1900,1995,1441,SAREES-TCB,95,4207,
10/15/2019,KCH-AJR-1,1,3360,3528,1442,SAREES-AJRAKH,168,FB ORDER,PREORDER SAREE
10/15/2019,CC-SAREE,1,2500,2625,1443,CHHAMAK CHALLO,125,IG ORDER,
10/15/2019,TCB-TEM6-CY1,1,1350,1418,1444,SAREES-TCB,68,4175,
10/16/2019,TCB-IN1-RB1,1,1500,1575,1445,SAREES-TCB,75,4182,
10/16/2019,TCB-DN5-BG,1,2205,2315,1446,SAREES-TCB,110,4188,
10/16/2019,SHB-CHN11-C4,1,2730,2867,1446,SAREES-SHALU BAGRU,137,4188,
10/16/2019,TCB-NP7-P18,1,1900,1995,1447,SAREES-TCB,95,4192,
10/16/2019,TCB-OKAL4-P18,1,1680,1764,1448,SAREES-TCB,84,4204,
10/16/2019,VA-TR14-OC,1,999,1029,1449,JEWELLERY-VASUKI,30,4211,
10/16/2019,TCB-JR4968,1,8500,8925,1449,SAREES-TCB,425,4211,
10/16/2019,TCB-IN17-RB1,1,1500,1575,1450,SAREES-TCB,75,4213,
10/16/2019,TCB-IN13-RB1,1,1500,1575,1451,SAREES-TCB,75,4214,
10/16/2019,TCB-CHK1-CY,1,350,368,1451,SAREES-TCB,18,4214,
10/16/2019,TCB-DIG2-LIN-C3,1,4830,5072,1451,SAREES-TCB,242,4214,
10/16/2019,TCB-IN16-RB1,1,1500,1575,1452,SAREES-TCB,75,4215,
10/16/2019,TCB-IN4-RB1,1,1500,1575,1453,SAREES-TCB,75,4216,
10/16/2019,TCB-IN7-RB1,1,1500,1575,1454,SAREES-TCB,75,4218,
10/16/2019,TCB-GM2-P17,1,1900,1995,1455,SAREES-TCB,95,4220,
10/16/2019,TCB-IN16-RB1,1,1500,1575,1456,SAREES-TCB,75,4221,
10/16/2019,TCB-NP-P17,2,1800,3780,1457,SAREES-TCB,180,4222,
10/16/2019,TCB-IN24-RB1,1,1500,1575,1458,SAREES-TCB,75,4223,
10/18/2019,TCB-IN8-RB1,1,1500,1575,1459,SAREES-TCB,75,4217,
10/18/2019,TCB-GM13-P18,1,1900,1995,1459,SAREES-TCB,95,4217,
10/18/2019,TCB-KC76-KN,1,1500,1575,1460,SAREES-TCB,75,4225,
10/18/2019,RK-KC6-C40,1,3200,3360,1461,SAREES-REKHA,160,4226,
10/18/2019,TCB-IN23-RB1,1,1500,1575,1461,SAREES-TCB,75,4226,
10/18/2019,TCB-IN10-RB1,1,1500,1575,1462,SAREES-TCB,75,4227,
10/18/2019,TCB-IN19-RB1,1,1500,1575,1463,SAREES-TCB,75,4228,
10/18/2019,TCB-IN23-RB1,1,1500,1575,1464,SAREES-TCB,75,4229,
10/18/2019,TCB-IN16-RB1,1,1500,1575,1464,SAREES-TCB,75,4229,
10/18/2019,TCB-IN5-RJ,1,1575,1654,1464,SAREES-TCB,79,4229,
10/18/2019,TCB-GH1-BJ,1,1442,1485,1466,JEWELLERY-TCB,72,4231,
10/18/2019,TCB-IN24-RB1,1,1500,1575,1467,SAREES-TCB,75,4232,
10/18/2019,TCB-TEM2-CY2,1,1350,1418,1468,SAREES-TCB,68,4233,
10/18/2019,TCB-GIC4-CY2,1,1550,1628,1469,SAREES-TCB,78,4235,
10/18/2019,TCB-TEM9-JM,1,1900,1995,1470,SAREES-TCB,95,4236,
10/18/2019,TCB-IN16-RB1,1,1500,1575,1471,SAREES-TCB,75,4237,
10/18/2019,TCB-GIC4-CY2,1,1550,1628,1472,SAREES-TCB,78,4238,
10/18/2019,TCB-GM1-P18,1,1900,1995,1473,SAREES-TCB,95,4239,
10/18/2019,TCB-LIN8-CY,1,3780,3969,1473,SAREES-TCB,189,4239,
10/18/2019,TCB-GIC4-CY2,1,1550,1628,1473,SAREES-TCB,78,4239,
10/18/2019,CC-PNP3-C6,1,1300,1339,1473,CHHAMAK CHALLO,65,4239,
10/18/2019,CC-AFG1-C7,1,2100,2163,1473,CHHAMAK CHALLO,105,4239,
10/19/2019,TCB-AS1-BN,1,5250,5513,1474,SAREES-TCB,263,4242,
10/19/2019,TCB-LE7-BJ,1,618,637,1475,JEWELLERY-TCB,19,4243,
10/19/2019,TCB-IN19-RB1,1,1500,1575,1475,SAREES-TCB,75,4243,
10/19/2019,TCB-GIC4-CY2,1,1550,1628,1476,SAREES-TCB,78,4244,
10/19/2019,TCB-PC2-BG,1,2100,2205,1476,SAREES-TCB,105,4244,
10/19/2019,TCB-IKT3-P2,1,299,314,1476,FABRICS-TCB,15,4244,
10/19/2019,TCB-DCOT3-P13,1,261,274,1476,FABRICS-TCB,13,4244,
10/19/2019,TCB-GM9-P18,1,1900,1995,1477,SAREES-TCB,95,4245,
10/19/2019,TCB-IN16-RB1,1,1500,1575,1478,SAREES-TCB,75,4246,
10/19/2019,TCB-JR4967,1,8000,8400,1479,SAREES-TCB,400,4247,
10/19/2019,TCB-CSAR3-P16,1,1300,1365,1479,SAREES-TCB,65,4247,
10/19/2019,KCH-AJR5-C14,1,3200,3360,1480,SAREES-AJRAKH,160,4248,
10/19/2019,KCH-MOD10-C14,1,6510,6836,1481,SAREES-AJRAKH,326,4249,
10/19/2019,TCB-IKT4-P2,1,299,314,1481,FABRICS-TCB,15,4249,
10/19/2019,TCB-KC-KN,3,1500,4725,1482,SAREES-TCB,225,4250,
10/19/2019,TCB-COT11-AY,1,1995,2095,1483,SAREES-TCB,100,4251,
10/19/2019,TCB-IN10-RB1,1,1500,1575,1483,SAREES-TCB,75,4251,
10/19/2019,ASF272,1,3429,3600,1483,ADDOZ,171,4251,
10/19/2019,TCB-DN2-BG1,1,2100,2205,1484,SAREES-TCB,105,4252,
10/19/2019,TCB-AM1-BG1,1,2400,2520,1485,SAREES-TCB,120,4253,
10/19/2019,TCB-IN18-RB1,1,1500,1575,1486,SAREES-TCB,75,4254,
10/19/2019,TCB-PB2-BG,1,3150,3308,1487,SAREES-TCB,158,4255,
10/19/2019,TCB-DN9-BG,1,2100,2205,1488,SAREES-TCB,105,4219,
10/21/2019,TCB-GIC4-CY2,1,1550,1628,1489,SAREES-TCB,78,4234,
10/21/2019,TCB-IN18-RB1,1,1500,1575,1490,SAREES-TCB,75,4240,
10/21/2019,TCB-IN18-RB1,1,100,105,1491,SAREES-TCB,5,4256,
10/21/2019,TCB-KC54-KN,1,1500,1575,1492,SAREES-TCB,75,4257,
10/21/2019,KCH-SLK4-C14,1,7350,7718,1492,SAREES-AJRAKH,368,4257,
10/21/2019,TCB-KSH-WHT,1,1600,1680,1493,SAREES-TCB,80,4258,
10/21/2019,TCB-DB5-RJ,1,1575,1654,1494,SAREES-TCB,79,4259,
10/21/2019,TCB-GIC4-CY2,1,1550,1628,1495,SAREES-TCB,78,4261,
10/21/2019,TCB-GIC4-CY2,1,1550,1628,1496,SAREES-TCB,78,4262,
10/21/2019,RK-CHN2-C30,1,2730,2867,1496,SAREES-REKHA,137,4262,
10/21/2019,TCB-NP13-P13,1,1810,1901,1496,SAREES-TCB,91,4262,
10/21/2019,TCB-FAB6-KN,1,299,314,1497,FABRICS-TCB,15,4263,
10/21/2019,CN-DECGSN8C,1,720,742,1498,JEWELLERY-CUPKIN,22,4264,
10/21/2019,CN-SEPTGSN2A,0,0,0,1498,JEWELLERY-CUPKIN,0,4264,exchanged
10/21/2019,TCB-DB2-RJ,1,1575,1654,1499,SAREES-TCB,79,4265,
10/21/2019,TCB-GIC4-CY2,1,1550,1628,1500,SAREES-TCB,78,4268,
10/21/2019,TCB-TEM1-CY2,1,1350,1418,1501,SAREES-TCB,68,4276,
10/21/2019,TCB-GIC4-CY2,1,1550,1628,1501,SAREES-TCB,78,4276,
10/21/2019,TCB-POM4-CY1,1,1550,1628,1502,SAREES-TCB,78,4269,
10/21/2019,TCB-POM7-CY1,1,1550,1628,1502,SAREES-TCB,78,4269,
10/21/2019,TCB-KOTA2-C2,1,2242,2354,1503,SAREES-TCB,112,4270,
10/21/2019,TCB-IN11-RB1,1,1500,1575,1504,SAREES-TCB,75,4271,
10/21/2019,TCB-FSLK1-P8,1,366,384,1505,FABRICS-TCB,18,4272,
10/21/2019,TCB-OKAL12,1,261,274,1505,FABRICS-TCB,13,4272,
10/21/2019,TCB-KAL2-P20,1,1575,1654,1506,SAREES-TCB,79,4274,
10/21/2019,TOP0303 S,1,1900,2128,1507,DRESSES-MADHURIMA,228,4275,
10/21/2019,RK-CHN7-C30,1,2730,2867,1507,SAREES-REKHA,137,4275,
10/21/2019,TCB-CBGH5-P1,1,1780,1869,1507,SAREES-TCB,89,4275,
10/21/2019,TCB-DN1-BG1,1,2200,2310,1508,SAREES-TCB,110,4278,
10/21/2019,TCB-PB1-BG1,1,3000,3150,1508,SAREES-TCB,150,4278,
10/21/2019,TCB-NP-P18,2,1800,3780,1509,SAREES-TCB,180,4279,
10/21/2019,TCB-PI1-CG2,1,1575,1654,1510,SAREES-TCB,79,4280,
10/21/2019,TCB-CT3-CY2,1,1250,1313,1511,SAREES-TCB,63,4260,
10/21/2019,NF-LL9-C6,1,4095,4300,1511,SAREES-NISHITHJI,205,4260,
10/21/2019,TCB-GAD10-P19,1,1600,1680,1512,SAREES-TCB,80,,
10/21/2019,TCB-GM-P18,2,1900,3990,1512,SAREES-TCB,190,,
10/22/2019,TCB-CT6-AY,1,1800,1890,1513,SAREES-TCB,90,4281,
10/22/2019,CC-LAM1-C7,1,1650,1700,1514,CHHAMAK CHALLO,50,4156,
10/22/2019,CN-OCTDUALN7B,1,499,514,1514,JEWELLERY-CUPKIN,15,4156,
10/22/2019,TCB-KAL3-P17,1,1500,1575,1515,SAREES-TCB,75,4273,
10/22/2019,TCB-IN15-RB1,1,1500,1575,1515,SAREES-TCB,75,4273,
10/22/2019,TCB-TNT16-JM,1,1714,1800,1516,SAREES-TCB,86,4277,
10/22/2019,NF-LL7-C6,1,3990,4190,1517,SAREES-NISHITHJI,200,4283,
10/22/2019,TCB-DIG6-LIN-C1,1,4830,5072,1517,SAREES-TCB,242,4283,
10/22/2019,TOP0267 M,1,1500,1680,1518,DRESSES-MADHURIMA,180,4284,
10/22/2019,TCB-BB3-BG1,1,2600,2730,1518,SAREES-TCB,130,4284,
10/22/2019,KCH-AJR15-C12,1,3360,3528,1519,SAREES-AJRAKH,168,4286,
10/22/2019,TCB-GM10-P18,1,1900,1995,1520,SAREES-TCB,95,4288,
10/22/2019,TCB-BB3-BG1,1,2600,2730,1521,SAREES-TCB,130,4289,
10/22/2019,TCB-AC5-BN,1,2205,2315,1522,SAREES-TCB,110,4290,
10/22/2019,TCB-TEM1-CY2,1,1350,1418,1522,SAREES-TCB,68,4290,
10/22/2019,KCH-AJR3-C13,1,3160,3318,1523,SAREES-AJRAKH,158,4291,
10/22/2019,TCB-CBGH6-P1,1,1780,1869,1524,SAREES-TCB,89,4292,
10/22/2019,TCB-IN6-RB1,1,1500,1575,1524,SAREES-TCB,75,4292,
10/22/2019,TCB-IN24-RB1,1,1500,1575,1524,SAREES-TCB,75,4292,
10/22/2019,TCB-TEM-CY1,2,1350,2835,1524,SAREES-TCB,135,4292,
10/22/2019,TCB-CHK3-CY1,1,1350,1418,1525,SAREES-TCB,68,4293,
10/22/2019,TCB-POM4-CY1,1,1550,1628,1525,SAREES-TCB,78,4293,
10/22/2019,TCB-MP1-BG1,1,3200,3360,1526,SAREES-TCB,160,IG ORDER,
10/22/2019,TCB-CKAL15-P17,1,261,274,1526,FABRICS-TCB,13,IG ORDER,
10/23/2019,TCB-IN15-RB1,1,1500,1575,1527,SAREES-TCB,75,4300,
10/23/2019,TCB-DKAL8-P15,1,1500,1575,1527,SAREES-TCB,75,4300,
10/23/2019,TCB-CHK4-CY1,1,1350,1418,1528,SAREES-TCB,68,4287,
10/23/2019,TCB-GM11-P18,1,1900,1995,1529,SAREES-TCB,95,4282,
10/23/2019,TCB-CT3-CY2,1,1250,1313,1530,SAREES-TCB,63,4295,
10/23/2019,TCB-KC77-KN,1,1300,1365,1530,SAREES-TCB,65,4295,
10/23/2019,TCB-KAL11-P20,1,1575,1654,1531,SAREES-TCB,79,4298,
10/23/2019,TCB-GM-P18,2,1900,3990,1531,SAREES-TCB,190,4298,
10/23/2019,TCB-IKT4-P2,1,299,314,1532,FABRICS-TCB,15,4296,
10/23/2019,TCB-GIC4-CY2,1,1550,1628,1532,SAREES-TCB,78,4296,
10/23/2019,TCB-CT3-CY2,1,1250,1313,1533,SAREES-TCB,63,4297,
10/23/2019,TCB-CT3-CY2,1,1250,1313,1534,SAREES-TCB,63,4299,
10/23/2019,KCH-STO13-C4,1,1500,1575,1535,SAREES-AJRAKH,75,4302,
10/23/2019,TCB-KAL12-P20,1,1575,1654,1536,SAREES-TCB,79,4303,
10/23/2019,TCB-TNT28-JM,1,1200,1260,1537,SAREES-TCB,60,4304,
10/23/2019,TCB-IN11-RB1,1,1500,1575,1538,SAREES-TCB,75,4307,
10/23/2019,TCB-IN12-RB1,1,1500,1575,1538,SAREES-TCB,75,4307,
10/23/2019,TCB-DN2-BG1,1,2200,2310,1539,SAREES-TCB,110,4309,
10/23/2019,TCB-KAL6-P3,2,261,548,1540,FABRICS-TCB,26,4267,
10/23/2019,TCB-IK2-P5,1,314,330,1540,FABRICS-TCB,16,4267,
10/23/2019,TCB-FSLK1-P8,1,366,384,1540,FABRICS-TCB,18,4267,
10/23/2019,TCB-TB5-BS,1,1995,2095,1540,SAREES-TCB,100,4267,
10/23/2019,TCB-DIG9-LIN-C1,1,4830,5072,1540,SAREES-TCB,242,4267,
10/23/2019,TCB-MONO-P18,1,1680,1764,1540,SAREES-TCB,84,4267,
10/23/2019,TCB-DB5-RJ,1,1575,1654,1540,SAREES-TCB,79,4267,
10/23/2019,TCB-IN4-RB1,1,1500,1575,1540,SAREES-TCB,75,4267,
10/23/2019,TCB-DN1-BG1,1,2400,2520,1541,SAREES-TCB,120,4308,
10/23/2019,TCB-CT3-CY2,1,1250,1313,1542,SAREES-TCB,63,4310,
10/23/2019,TCB-IN12-RB1,1,1500,1575,1543,SAREES-TCB,75,4311,
10/24/2019,CC-BL2-C4,1,1800,1890,1544,CHHAMAK CHALLO,90,4312,
10/24/2019,KCH-MOD4-C14,1,6510,6836,1544,SAREES-AJRAKH,326,4312,
10/24/2019,CC-BL10-C4,1,1800,1890,1545,CHHAMAK CHALLO,90,4315,
10/24/2019,CC-BL4-C4,1,1800,1890,1545,CHHAMAK CHALLO,90,4315,
10/24/2019,TCB-KCH2-KN,1,1500,1575,1546,SAREES-TCB,75,4317,
10/25/2019,TCB-BB3-BG1,1,2600,2730,1547,SAREES-TCB,130,4318,
10/25/2019,TCB-GM7-P18,1,1900,1995,1548,SAREES-TCB,95,4319,
10/25/2019,TCB-GM15-P18,1,1900,1995,1549,SAREES-TCB,95,4320,
10/25/2019,TCB-BB2-BG1,1,2600,2730,1550,SAREES-TCB,130,4321,
10/25/2019,TCB-LIN2-AY,1,4725,4961,1550,SAREES-TCB,236,4321,
10/25/2019,TCB-POM5-CY1,1,1550,1628,1550,SAREES-TCB,78,4321,
10/25/2019,TCB-TEM3-CY2,1,1350,1418,1550,SAREES-TCB,68,4321,
10/25/2019,TCB-LC2-P7,1,3800,3990,1550,SAREES-TCB,190,4321,
10/25/2019,TCB-DIG1-MS1,1,6000,6300,1551,SAREES-TCB,300,IG ORDER,
10/25/2019,TCB-IN8-RB1,1,1500,1575,1552,SAREES-TCB,75,4322,
10/26/2019,TCB-JWL-7019,1,618,637,1553,JEWELLERY-TCB,19,4326,
10/26/2019,TCB-SDUP3-P16,1,799,839,1553,DUPATTAS-TCB,40,4326,
10/26/2019,TCB-PI10-BG2,1,1575,1654,1554,SAREES-TCB,79,4323,
10/26/2019,TCB-BB5-P18,1,1900,1995,1555,SAREES-TCB,95,4324,
10/26/2019,TCB-KOTA5-C2,1,2242,2354,1556,SAREES-TCB,112,4325,
10/26/2019,TCB-DB3-RJ,1,1575,1654,1556,SAREES-TCB,79,4325,
10/26/2019,TCB-KC41-KN,1,1500,1575,1557,SAREES-TCB,75,4328,
10/26/2019,TCB-IN12-RB1,1,1500,1575,1558,SAREES-TCB,75,4329,
10/26/2019,TCB-KC66-KN,1,3200,3360,1560,SAREES-TCB,160,4331,
10/26/2019,KCH-MOD1-C13,1,6510,6836,1561,SAREES-AJRAKH,326,4332,
10/26/2019,TCB-IN14-RB1,1,1500,1575,1561,SAREES-TCB,75,4332,
10/26/2019,TCB-SKAL6-P4,1,2415,2536,1561,SAREES-TCB,121,4332,
10/26/2019,TCB-LIN6-C4,1,3780,3969,1562,SAREES-TCB,189,4333,
10/28/2019,DRS0312 XL,1,3100,3472,1564,DRESSES-MADHURIMA,155,4306,
10/28/2019,DRS0313 XL,1,3500,3920,1564,DRESSES-MADHURIMA,175,4306,
10/28/2019,GC-D-260 XL,1,3500,3920,1564,GULAAL CREATIONS,175,4306,
10/28/2019,DRS0252 L,0,0,0,1564,DRESSES-MADHURIMA,0,4306,exchanged
10/28/2019,TCB-DN1-BG1,1,2400,2520,1565,SAREES-TCB,120,4334,
10/28/2019,TCB-KC69-KN,1,1500,1575,1568,SAREES-TCB,75,4337,
10/28/2019,TCB-IN18-RB1,1,1500,1575,1568,SAREES-TCB,75,4337,
10/29/2019,TCB-CKAL7-P12,2,261,548,1569,FABRICS-TCB,26,4341,
10/29/2019,TCB-FSLK-P17,2,366,769,1569,FABRICS-TCB,37,4341,
10/29/2019,TCB-SDUP-16,1,799,839,1570,DUPATTAS-TCB,40,4338,
10/29/2019,TCB-TEM2-CY2,1,1350,1418,1571,SAREES-TCB,68,4339,
10/29/2019,TCB-GM6-P18,1,1900,1995,1572,SAREES-TCB,95,4340,
10/29/2019,TCB-PI4-C2-BG,1,1575,1654,1573,SAREES-TCB,79,4342,
10/29/2019,CANCELLED BILL,0,0,0,1574,CANCELLED BILL,0,,
10/29/2019,CN-OCTGSN2,1,1545,1591,1575,JEWELLERY-CUPKIN,77,4343,
10/29/2019,TCB-COT2-JM,1,2310,2426,1576,SAREES-TCB,116,4344,
10/29/2019,TCB-DN10-BG1,1,2100,2205,1577,SAREES-TCB,105,4346,
10/29/2019,CC-BL4-C4,1,1800,1890,1578,CHHAMAK CHALLO,90,4327,
10/29/2019,ASF283,1,3524,3700,1579,ADDOZ,176,4354,
10/30/2019,ERR-OCT31B,1,721,743,1580,JEWELLERY-ERRORS,36,4353,
10/30/2019, CN-JANGSE1J,1,514,529,1580,JEWELLERY-CUPKIN,26,4353,
10/30/2019,CN-OCTGSN3A,1,1150,1185,1580,JEWELLERY-CUPKIN,58,4353,
10/30/2019,CANCELLED BILL,0,0,0,1581,CANCELLED BILL,0,,
10/30/2019,CN-OCTGSN2,1,1545,1622,1582,JEWELLERY-CUPKIN,77,4350,
10/30/2019,TCB-DB5-RJ,1,1545,1622,1583,SAREES-TCB,77,4349,
10/30/2019,TCB-IN14-RB1,1,1500,1575,1584,SAREES-TCB,75,4348,
10/31/2019,TCB-TNT35-JM,1,1200,1260,1585,SAREES-TCB,60,4361,
10/31/2019,TCB-MU5-MS1,1,4800,5040,1586,SAREES-TCB,240,4360,
10/31/2019,TCB-MU1-MS1,1,4800,5040,1587,SAREES-TCB,240,4358,
10/31/2019,TCB-DIG9-LIN-C1,1,4830,5072,1588,SAREES-TCB,242,4356,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,TOTAL,,,857354,,,,,
DATE,PRODUCT CODE,QTY,MRP,AMOUNT,BILL NO,DESCRIPTION,GST AMOUNT,WEBSITE ORDER #,
09-01-19,KCH-SLK-C14,2,7350,14700,1301,SAREES-AJRAKH,,4026,
10-01-19,TCB-JR4967A,1,8000,8000,1309,SAREES-TCB,,4072,
10-01-19,TCB-BB8-P18,1,1900,1900,1309,SAREES-TCB,,4072,
10-01-19,TCB-KC63-KN,1,1500,1500,1309,SAREES-TCB,,4072,
10-08-19,CC-LNP4-C7,1,1850,1850,1381,CHAMMAK CHALLO,,4137,
10-08-19,CC-LNP2-C7,1,1850,1850,1381,CHAMMAK CHALLO,,4137,
10-12-19,TCB-FCOT-P8,3,261,783,1401,FABRICS-TCB,,4172,
10-12-19,TCB-PP3-BJ,1,1236,1236,1401,JEWELLERY-TCB,,4172,
10-12-19,TCB-DKAL8-P15,1,1500,1500,1401,SAREES-TCB,,4172,
10-12-19,TCB-BUTI1-RB1,1,1500,1500,1401,SAREES-TCB,,4172,
10-12-19,TCB-KOTA6-C12,1,1995,1995,1401,SAREES-TCB,,4172,
10/15/2019,TCB-AD1-BN,1,2310,2310,1434,SAREES-TCB,,4171,
10/15/2019,TCB-SBGH8-P1,1,3465,3465,1434,SAREES-TCB,,4171,
10/15/2019,TCB-GM-P18,2,1900,3800,1435,SAREES-TCB,,4180,
10/15/2019,TCB-TNT26-JM,1,1200,1200,1435,SAREES-TCB,,4180,
10/15/2019,TCB-KOTA7-C2,1,1995,1995,1435,SAREES-TCB,,4180,
10/15/2019,TCB-AC7-BN,1,2205,2205,1435,SAREES-TCB,,4180,
10/15/2019,TS-3233A,1,2940,2940,1435,SAREES-POOJA DOSHI,,4180,
10/15/2019,TCB-AG4-BN,1,2625,2625,1435,SAREES-TCB,,4180,
10/15/2019,TCB-TEM6-CY1,1,1150,1150,1435,SAREES-TCB,,4180,
10/18/2019,TCB-AM1-BG1,1,2400,2400,1465,SAREES-TCB,,4230,
10/26/2019,TCB-KOTA-C2,2,1995,3990,1559,SAREES-TCB,,4330,
10/26/2019,TCB-IN22-RB1,1,1500,1500,1559,SAREES-TCB,,4330,
10/26/2019,TCB-CBGH12-P1,1,1780,1780,1559,SAREES-TCB,,4330,
10/26/2019,DRS0310 S,1,3600,3600,1563,DRESSES-MADHURIMA,,4285,
10/26/2019,GC-D-147 HAMEER S,1,3500,3500,1563,GULAAL CREATIONS,,4285,
10/28/2019,VA-18-OC,1,17110,17110,1566,JEWELLERY-VASUKI,,4335,
10/28/2019,DRS0313 S,1,3500,3500,1566,DRESSES-MADHURIMA,,4335,
10/28/2019,KCH-DUP1-C14,1,2688,2688,1566,SAREES-AJRAKH,,4335,
10/28/2019,TCB-GM6-P18,1,1900,1900,1567,SAREES-TCB,,4336,
10/28/2019,TCB-KAL10-P20,1,1575,1575,1567,SAREES-TCB,,4336,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,TOTAL,,,102047,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DATE,PRODUCT CODE,PERSON,QTY,MRP,DISCOUNTED AMOUNT,AMOUNT,DESCRIPTION,COMMENTS,
10-03-19,KCH-MODAL SILK DUPATTA,KAJAL,1,,,,SAREES-AJRAKH,,
10-06-19,INDIGO RINKOOJI SAREE,KAVITA,3,,,,SAREES-TCB,,
10-06-19,INCH PAR BEGUMPURI SAREE,KAVITA,1,,,,SAREES-TCB,,
10-06-19,KCH-AJRAKH STOLE,KAVITA,1,,,,SAREES-AJRAKH,,
10-06-19,TCB-KOTA SAREE,KAVITA,1,,,,SAREES-TCB,,
